Ch	Time	ch[0]	ch[1]	ch[2]	ch[3]	ch[4]	ch[5]	ch[6]	ch[7]	ch[8]	ch[9]	ch[10]	ch[11]	ch[12]	ch[13]	ch[14]	ch[15]
ch1:	8:45:02	-4.8	-5.5	-3.5	-4.15	-10.15	-12.1	-10.05	-7.9	-6.25	-5.2	-5.15	-4.8	-2	-2.9	-9	-13.7
ch1:	8:45:02	-10.3	-11.25	-15.1	-9.7	-9.3	-13.2	-7.55	-7.9	-10.3	-4.65	-3.8	-1.75	4.6	4.2	-0.1	4.4
ch1:	8:45:02	-1.15	-0.2	2.5	-4.4	-5.35	-0.85	-3.15	-4.55	-4.85	-6.3	-6.2	-5.4	0.35	5	5	18.2
ch1:	8:45:02	38.2	56.85	92.15	136.7	175.3	206.85	229.35	245.1	245.6	234.45	226.2	208.95	187.6	176.4	159.6	134.3
ch1:	8:45:02	117.85	108.75	100.85	90.75	83.2	73.45	67.3	62.25	54.9	42.3	37.15	36.9	33	27.05	25.25	23.2
ch1:	8:45:02	13.95	11.25	11.9	9.6	7.45	4.6	0.8	-3.8	-1.95	-5.65	-10.85	-12.1	-9.85	-10.7	-10.9	-15.35
ch1:	8:45:02	-18.45	-17.4	-15.6	-17.25	-15.15	-12.65	-11.15	-11.9	-16.25	-18.7	-16.2	-17.05	-20.05	-19.7	-15.25	-9.45
ch1:	8:45:02	-9.2	-18.3	-20.1	-13.25	-14.8	-21.25	-21.15	-20.8	-17.2	-16.8	-22.25	-22.4	-15.55	-17.6	-18.75	-18.3
ch1:	8:45:02	-22.15	-23.75	-20.35	-23.9	-26.85	-23.9	-26.25	-28.85	-26.3	-24.1	-21.5	-20.45	-21.3	-25.3	-25.65	-25.6
ch1:	8:45:02	-19.9	-17.35	-5.9	11.55	17.25	14.45	17.9	18.55	12.85	14.9	18.7	16.3	17.65	16.4	14.5	14.35
ch1:	8:45:02	14.9	11.5	14.95	15.25	11.3	8.5	9.45	10.05	13.15	8.8	8.5	9.8	8.85	8.1	12.4	9.85
ch1:	8:45:02	9.95	8.55	2.9	-3.1	2.2	2.65	-0.05	-4.25	-2.85	-5.25	-4.1	-4	-4.75	-3.05	-1.3	-6.75
ch1:	8:45:02	-5.65	-4.75	-1.75	-2.55	-5.4	-9.35	-5.65	0.6	1.35	-1.55	-6.5	-2.35	8.05	-1.2	1.35	23.35
ch1:	8:45:02	37.6	47.25	76.1	99.65	113.45	138.65	159.2	166.5	163.45	152.8	143.35	134.5	110.3	92.2	88.6	79.6
ch1:	8:45:02	67.15	59.1	51.45	40.05	33.95	26.3	24.45	20.2	16.7	9.65	6.45	3.95	2.05	1.85	-1.05	-2.65
ch1:	8:45:02	-6.8	-9.95	-6.2	-5.55	-8.65	-8.65	-10.4	-12.85	-10.7	-13.9	-15.55	-18.3	-22.15	-22.8	-23.1	-22.9
ch1:	8:45:02	-21	-23.8	-22.65	-16.85	-25.6	-32.6	-22.4	-20.95	-19.75	-11.4	-16.75	-22	-13.85	-12.2	-10.35	-6.65
ch1:	8:45:02	-13.3	-21.35	-10.95	3.3	32.85	80.95	134.4	177.85	237.35	283.1	296.5	301.05	303.35	283.65	258.5	234.5
ch1:	8:45:02	214.4	192.2	171.25	149.55	129.4	109.25	93.85	78.3	66.7	50.65	40.1	27.55	22.65	13.05	5.55	1.15
ch1:	8:45:02	-7.7	-19	-21.85	-20.6	-31.65	-46.1	-52.3	-56.55	-56.75	-49.95	-52.05	-58.35	-58.35	-70.8	-81.35	-78
ch1:	8:45:02	-76.1	-74.35	-71.9	-74.75	-68.75	-70.95	-106.15	-156.1	-198.05	-247.3	-301.75	-345.4	-376.55	-392.5	-395.45	-391.8
ch1:	8:45:02	-384.6	-379.25	-380.65	-378	-371.25	-369.8	-369.15	-369.05	-368.95	-369.45	-364.35	-366.8	-365.75	-360.75	-353.35	-346.75
ch1:	8:45:02	-342	-340.95	-339.95	-346.55	-352.95	-352.35	-345.85	-342.55	-341.45	-338.35	-329.85	-324.15	-318.2	-315	-310.95	-306.3
ch1:	8:45:02	-300.1	-294.5	-286.15	-281	-284.55	-292.65	-298.3	-319.05	-335.4	-350.45	-373.1	-397.15	-417.45	-427.55	-428.45	-428.45
ch1:	8:45:05	-401.3	-394	-396.2	-388.55	-388.25	-401.1	-417	-432.8	-439.55	-435.75	-439.05	-440.5	-425.75	-420.3	-421.4	-419.85
ch1:	8:45:05	-412.65	-407.3	-408.05	-404.05	-387.4	-376.55	-347.05	-306.1	-251.45	-186.6	-130.6	-99.9	-78.6	-76	-93.25	-114.55
ch1:	8:45:05	-140.3	-159.65	-167.15	-180.5	-182.75	-180.35	-194.4	-215.05	-219.95	-218.75	-206.3	-217	-221.85	-208.55	-215.45	-232.55
ch1:	8:45:05	-225	-224.4	-231.5	-231.5	-226.5	-222.1	-224.8	-230.45	-226.9	-225.15	-224.35	-218.3	-218	-219.05	-219.55	-212.65
ch1:	8:45:05	-165.6	-95.65	-42.85	16	82.15	128.8	166.1	213.45	248.05	258.9	250.95	244.85	241.75	243.25	234.2	232.95
ch1:	8:45:05	231.55	226.35	212.95	218.25	216.45	213.1	206.85	205.35	204.1	206.25	198.2	195.65	196.8	190.4	182.85	187.85
ch1:	8:45:05	185.7	185.35	178.85	182.1	182.65	181.75	169.4	172.75	173.8	164.8	157.15	162.15	164.25	164.1	153.45	151.9
ch1:	8:45:05	152.5	153.85	148.05	150.1	151.35	149.4	147.95	155.65	161.7	169.5	169.1	167.95	163.25	159.25	156.5	164.3
ch1:	8:45:05	165.2	159.6	160.05	160.65	152.6	149.3	148.3	141.05	137.9	144.05	143.65	137.75	141.65	133.55	122.8	126.9
ch1:	8:45:05	135.85	130.55	127.75	133.25	130.3	127.2	121.3	109.85	108.25	117.3	120.15	117.8	121.25	125.5	124.2	117.3
ch1:	8:45:05	112.65	114.7	112.55	105.25	102.05	102.8	100.85	99.1	104.3	106.55	100.85	98.15	99.25	99.6	100.7	100.7
ch1:	8:45:05	98.5	91.75	94.75	95.95	89	81.1	80.25	80	78	80.1	87.85	92.25	91.45	87.45	84.8	74.05
ch1:	8:45:05	68.5	67.05	53.7	39.2	33.6	23.85	22.6	29.95	28.15	28.55	35.75	34.75	33.6	31.75	27.65	25.6
ch1:	8:45:05	21.95	20.6	26.65	28.3	22.15	26	31.25	30.75	32.75	30.45	25.25	29.55	27.25	22.6	28.65	31.35
ch1:	8:45:05	25.8	23.1	24.3	24.45	25.8	29.4	31.15	30.3	29.2	26.35	17.8	16.95	24.7	26.95	22.35	25.45
ch1:	8:45:05	22.6	17.65	17.65	22.65	25.35	27.05	18.35	15.75	18.4	14.65	7.85	17.7	24.2	20.7	17.1	13.3
ch1:	8:45:05	11.5	20.3	25.4	22.75	20.3	26.7	26.35	19	14.85	18.5	14.5	14.25	19.9	22.5	19.15	20.85
ch1:	8:45:05	16.9	15.8	17	15	12.45	16	20.35	21.8	24.15	26.9	27.1	25.85	23.05	17.8	14.25	13.15
ch1:	8:45:05	7	6.45	9.75	10.6	11.1	7.6	8.95	15.15	16.6	14.45	17.75	21.55	14.4	1	-0.35	4.45
ch1:	8:45:05	6.95	9.05	16.4	14.9	12.7	11.25	6.95	11.05	14.9	12.3	13.2	16.5	16.5	14.05	10.35	11.2
ch1:	8:45:05	16.05	16.9	14.7	17.6	16.45	14.2	17.75	18.65	16.7	19.5	22.1	20.45	19.9	16.85	12.3	11.1
ch1:	8:45:05	14.05	15.6	18.1	17.45	17.65	17.9	18.1	15.15	17.7	16.45	11.95	10.15	10.75	11.65	13.15	11.2
ch1:	8:45:05	9.05	11.35	13.55	17.75	24.25	24.8	21.25	21.75	18.3	13.25	11.85	13	9.6	12.05	19.65	26.1
ch1:	8:45:05	27	25.6	17.95	19.25	24.8	21.5	11.1	8.45	10	10.1	4.8	6.05	8.25	4.05	8.9	18.45
ch1:	8:45:08	7.15	-7.9	-16.85	-32	-41.2	-37.85	-38.45	-44.4	-43.05	-42.65	-38.25	-34.1	-34.65	-35.15	-33.55	-32.7
ch1:	8:45:08	-42.25	-47.95	-49.05	-46.85	-42.6	-38.55	-37.35	-37.15	-37.85	-30.15	-9.05	16.2	43.95	76.4	118.1	163.65
ch1:	8:45:08	197.1	214.2	220.4	226.65	230.4	220.65	202.8	188.35	173.35	160.45	146.65	125.75	111.2	103.65	96.6	88.05
ch1:	8:45:08	83.75	74.9	64.6	58.55	48.65	40.6	31.75	19.4	20.1	19.45	14.1	10.95	5.8	2.6	7.55	2.85
ch1:	8:45:08	-4.85	-1	-5.75	-16.75	-21.55	-22.2	-28.55	-29.3	-24.75	-21.6	-17.85	-11.6	-10.8	-13.15	-17.45	-21.9
ch1:	8:45:08	-25.45	-26.3	-29.6	-28.95	-29.15	-30.75	-27.6	-26	-31.1	-31.4	-32.85	-32.3	-26.65	-28	-28	-28.2
ch1:	8:45:08	-32.4	-33.55	-33.4	-42.2	-43.25	-33.75	-34.15	-35.05	-34.45	-32.85	-31.3	-27.5	-28.4	-30.55	-35.45	-37.6
ch1:	8:45:08	-38.3	-35.7	-32.45	-27.6	-30.55	-34.05	-34.35	-36.65	-36.75	-31.25	-32.1	-35.4	-32.8	-27.9	-27.9	-27.35
ch1:	8:45:08	-27.05	-27.1	-25.15	-21.5	-28.6	-36.65	-33.65	-32.9	-33.65	-29.6	-28.85	-30.85	-31.45	-28.9	-25.8	-30.55
ch1:	8:45:08	-31.85	-26.15	-24.65	-29.8	-29.45	-28.15	-33.25	-32.3	-28.4	-25.2	-28.85	-32.65	-27.7	-27.45	-27.65	-22.4
ch1:	8:45:08	-25.3	-33	-31.1	-28.7	-30.3	-28.65	-25.15	-27.2	-31.85	-32.85	-33.9	-32.25	-26.2	-27.8	-30.15	-27.4
ch1:	8:45:08	-30.2	-37.05	-32.85	-30.85	-34.55	-34.55	-32.35	-33.2	-35.25	-37.75	-36.25	-33.05	-34.55	-37.75	-41.05	-44
ch1:	8:45:08	-42.25	-37.5	-34.7	-33.8	-35.2	-37.35	-36.6	-40.95	-44.05	-38.55	-33.6	-37.3	-32.15	-29.1	-31.3	-29.8
ch1:	8:45:08	-29.95	-31.65	-30.2	-36	-33.45	-25.9	-28.85	-31.1	-28.4	-25.4	-20.45	-21.35	-28.2	-19.9	-12.8	-15.75
ch1:	8:45:08	-20.1	-25.55	-31.05	-29.3	-30.15	-31.2	-33.9	-33.45	-31.3	-30.35	-34.2	-26.8	-20.3	-28.15	-33.45	-31.85
ch1:	8:45:08	-35.6	-37.35	-35	-39	-38.4	-36.45	-38	-36.9	-32.55	-33.2	-27.95	-28.25	-32.55	-31.3	-33.7	-44.25
ch1:	8:45:08	-44.05	-42.5	-45.1	-42	-36.35	-38.8	-36.05	-35.95	-41.4	-39.4	-33	-37.95	-44	-44	-40.7	-43.85
ch1:	8:45:08	-43.1	-39.95	-43.05	-47.85	-46.5	-41.15	-34.35	-36.15	-34.75	-31.85	-36.6	-42.35	-38.35	-41.5	-42.25	-39.05
ch1:	8:45:08	-41.2	-37.6	-25.95	-29.8	-30.55	-26.1	-29.6	-37.05	-35.2	-35.6	-34.55	-35.7	-32.5	-28.75	-27.05	-25.05
ch1:	8:45:08	-21.85	-23.8	-22.8	-23.6	-28.4	-29	-27.9	-30.1	-24	-17.25	-17.9	-23.85	-24.4	-22.4	-23.4	-24.3
ch1:	8:45:08	-21.15	-19.65	-14.95	-5.35	-5.75	-7.9	-1.2	-0.6	-0.4	-1.6	-3.75	-4.05	2.25	3.75	4.8	3.25
ch1:	8:45:08	2	-3.05	-1	1.4	-4	-8.35	-7	-7.15	-2.9	-7	-8	-3.2	0.2	-1.35	-3.95	-5.85
ch1:	8:45:08	-2.75	-12.2	-21.45	-5.5	16.45	45.45	104.9	154.95	205.35	246.25	268.85	279.95	283.2	269.95	255.9	239.7
ch1:	8:45:08	217.9	191.55	165.05	150.75	145.1	129.8	113.9	101.9	91.4	83.8	78.4	72.1	69.55	56.85	46.4	39.75
ch1:	8:45:11	34.3	31.8	31.15	27.35	24.25	19.3	15.85	17.85	16.95	13.6	10.1	8.35	5.55	4.75	0.6	-3.25
ch1:	8:45:11	-3.2	-2.5	-5.5	-5.35	-5.3	-10	-9	-8.7	-12.95	-13.15	-11.25	-12.7	-13.1	-9.55	-10.55	-9
