Ch	Time	ch[0]	ch[1]	ch[2]	ch[3]	ch[4]	ch[5]	ch[6]	ch[7]	ch[8]	ch[9]	ch[10]	ch[11]	ch[12]	ch[13]	ch[14]	ch[15]
ch1:	9:45:04	40.25	41.85	41.4	42.5	41.9	40	37.4	27.75	13.75	4.25	4.55	12.8	21.25	24.2	27.05	32.35
ch1:	9:45:04	36.9	40.05	39.45	34.7	26.5	15.4	2.35	-11.5	-26.1	-37.5	-41.55	-37.5	-29.65	-23.6	-20	-14.55
ch1:	9:45:04	-6.25	0	-0.5	-6.25	-10.9	-8.4	1.95	10.2	13.2	17.85	19.65	9.55	-4.8	-17.5	-21.65	-7.6
ch1:	9:45:04	16.25	34.3	45.1	47.25	35.9	16.05	-4.1	-18.05	-24.05	-26.4	-30.6	-35.35	-36.05	-30.35	-18.65	-4.3
ch1:	9:45:04	5.55	6.4	-0.05	-10.85	-21.8	-27.3	-27.5	-27.45	-27.35	-28.1	-27.9	-23.5	-16.6	-15.7	-22.65	-31.85
ch1:	9:45:04	-35.4	-28.6	-14.3	-1.1	6.5	9.05	7.05	3.25	-2.9	-12.9	-23.25	-28.2	-29.4	-26.9	-17.25	-5.45
ch1:	9:45:04	5.2	14.5	20.6	19.35	10.2	-2.65	-7.6	-0.5	10.3	18.15	23.65	22.2	13.3	2.15	-5.45	-4.05
ch1:	9:45:04	7.7	18.25	21	21.6	22.95	20.5	13.7	11.2	18.95	27.55	25.1	17.1	14.95	17.85	21.05	21.15
ch1:	9:45:04	15.85	10.1	8.1	6.7	11.85	25.9	38.55	44.35	47.65	47.25	45.4	44.35	40.45	28.5	8.6	-17.3
ch1:	9:45:04	-32.95	-25.4	-3.3	17.5	32.55	40.75	44.5	45.6	40.8	31	19.4	2.2	-19	-34	-39.95	-36.95
ch1:	9:45:04	-24.95	-13.7	-6.1	2.25	10.3	16	17.8	9.35	-5.7	-18	-22.2	-18.9	-10.2	0.75	10	13
ch1:	9:45:04	14.05	14.35	8	-0.9	-0.85	6.65	18.5	30.45	35.4	34.65	32.95	28.95	19.45	5.95	-7.7	-17.2
ch1:	9:45:04	-18.8	-12	-1.9	4.55	6.25	5.55	7.15	12.25	15.75	12.05	5.6	-1.45	-8.55	-12.15	-9.25	-4.1
ch1:	9:45:04	0.35	1.85	-2.65	-11.85	-20.15	-24.85	-26.35	-23.2	-17.35	-14.7	-14.15	-11.15	-7.05	-2.95	2.35	6.1
ch1:	9:45:04	1.9	-10.9	-23.25	-25.85	-14.75	6.1	25.3	33.25	34.95	33.4	24.25	5.2	-21.35	-42.85	-43.3	-25.65
ch1:	9:45:04	-6.45	4.45	4.4	-2.2	-11.05	-19.4	-25.65	-33.7	-45.4	-53.55	-59.6	-66.35	-69.35	-68.3	-68.35	-68.35
